quarter 1,,,,,,,,
regions,quoter_by_T,past_quoter%,past_year_this_quoter%,real_past_quoter%,real_past_year_this_quoter%,jan-mar_by_T,period_past year,real_period_past_year
Қазақстан Республикасы,285433.0,103.6,123.7,100.5,112.7,285433.0,123.7,112.7
Ақмола,225027.0,103.1,122.0,99.6,110.5,225027.0,122.0,110.5
Ақтөбе,253010.0,103.4,129.0,99.8,116.8,253010.0,129.0,116.8
Алматы,230783.0,98.1,122.2,95.2,111.7,230783.0,122.2,111.7
Атырау,477920.0,113.7,117.8,110.7,107.8,477920.0,117.8,107.8
Батыс Қазақстан,261218.0,108.5,119.8,105.5,109.6,261218.0,119.8,109.6
Жамбыл,219985.0,102.2,124.4,99.3,113.7,219985.0,124.4,113.7
Қарағанды,282199.0,104.0,127.9,100.7,116.3,282199.0,127.9,116.3
Қостанай,223301.0,99.2,124.1,96.3,113.2,223301.0,124.1,113.2
Қызылорда,247559.0,110.4,127.2,107.6,116.5,247559.0,127.2,116.5
Маңғыстау,416187.0,108.8,120.9,105.7,110.1,416187.0,120.9,110.1
Павлодар,251388.0,102.1,124.5,99.3,113.7,251388.0,124.5,113.7
Солтүстік Қазақстан,203385.0,100.2,122.0,97.3,111.4,203385.0,122.0,111.4
Түркістан ,226282.0,108.8,126.8,105.3,115.1,226282.0,126.8,115.1
Шығыс  Қазақстан,268267.0,106.9,125.4,103.8,114.0,268267.0,125.4,114.0
Нұр-Сұлтан қаласы,366502.0,93.6,119.2,90.6,108.6,366502.0,119.2,108.6
Алматы қаласы,327515.0,99.5,122.0,96.3,111.1,327515.0,122.0,111.1
Шымкент қаласы,216867.0,103.6,123.3,100.3,112.3,216867.0,123.3,112.3
quarter 2,,,,,,,,
regions,quoter_by_T,past_quoter%,past_year_this_quoter%,real_past_quoter%,real_past_year_this_quoter%,jan-mar_by_T,period_past year,real_period_past_year
Қазақстан Республикасы,312011.0,109.3,124.0,102.9,108.9,298572.0,124.1,110.9
Абай,262332.0,107.3,122.6,100.8,107.3,253968.0,124.6,111.0
Ақмола,250017.0,111.1,121.8,104.7,106.6,236097.0,121.1,107.7
Ақтөбе,272483.0,107.7,127.5,102.0,111.8,262684.0,128.3,114.3
Алматы,277382.0,114.1,121.7,107.7,107.4,259322.0,120.7,108.3
Атырау,506314.0,105.9,127.1,99.8,112.4,497457.0,123.2,110.8
Батыс Қазақстан,269302.0,103.1,121.2,97.3,106.9,263259.0,119.1,106.9
Жамбыл,259732.0,118.1,127.4,111.3,112.4,239559.0,126.6,113.6
Жетісу,241406.0,113.2,125.8,106.7,110.7,227254.0,125.6,112.6
Қарағанды,290110.0,110.2,127.6,103.5,111.3,276068.0,126.2,112.4
Қостанай,248538.0,111.3,124.8,105.0,110.1,235608.0,124.5,111.7
Қызылорда,291147.0,117.6,131.3,110.9,116.0,269259.0,129.4,116.4
Маңғыстау,458680.0,110.2,129.8,102.0,112.5,436677.0,126.8,112.6
Павлодар,266795.0,106.1,122.6,100.2,108.2,258737.0,123.5,110.9
Солтүстік Қазақстан,232778.0,114.5,122.6,108.0,108.1,217353.0,122.0,109.4
Түркістан ,266456.0,117.8,124.8,109.8,108.1,245600.0,125.5,111.2
Ұлытау,383190.0,103.8,128.6,97.6,112.3,373403.0,133.1,118.5
Шығыс  Қазақстан,282159.0,99.2,123.2,93.1,107.9,282673.0,124.9,111.4
Нұр-Сұлтан қаласы,393464.0,107.4,114.2,100.8,99.9,378144.0,116.5,103.9
Алматы қаласы,352486.0,107.6,119.1,101.5,104.7,340639.0,121.0,108.2
Шымкент қаласы,248498.0,114.6,122.3,108.4,107.9,232192.0,123.2,110.4
quater 3,,,,,,,,
regions,quoter_by_T,past_quoter%,past_year_this_quoter%,real_past_quoter%,real_past_year_this_quoter%,jan-mar_by_T,period_past year,real_period_past_year
Қазақстан Республикасы,299782.0,96.1,123.0,92.2,105.8,299404.0,124.1,109.4
Абай,248989.0,94.9,120.6,90.8,103.0,252462.0,123.3,108.3
Ақмола,248008.0,99.2,127.0,94.5,108.0,240576.0,123.1,107.8
Ақтөбе,270288.0,99.2,128.9,95.1,110.9,264168.0,128.1,112.8
Алматы,251275.0,90.6,117.9,87.8,103.0,257430.0,120.3,106.9
Атырау,526848.0,104.1,125.7,98.9,107.9,509600.0,125.3,110.9
Батыс Қазақстан,275904.0,102.5,121.8,98.1,105.0,265683.0,119.9,106.2
Жамбыл,216422.0,83.3,117.4,80.4,102.2,231420.0,123.2,109.4
Жетісу,214364.0,88.8,116.8,85.0,100.5,220231.0,121.5,107.4
Қарағанды,275006.0,94.8,124.0,90.9,106.1,272561.0,124.6,109.4
Қостанай,248932.0,100.2,121.2,95.7,104.1,239684.0,123.7,109.3
Қызылорда,251612.0,86.4,123.9,82.8,107.2,263695.0,127.9,113.5
Маңғыстау,450211.0,98.2,129.9,92.6,108.6,441458.0,128.0,111.3
Павлодар,266208.0,99.8,124.1,95.5,107.1,261498.0,123.8,109.6
Солтүстік Қазақстан,231918.0,99.6,122.5,95.2,105.2,222558.0,122.5,108.2
Түркістан ,216710.0,81.3,119.7,78.8,102.8,235943.0,123.7,108.4
Ұлытау,394729.0,103.0,139.0,97.8,117.8,392173.0,139.2,121.9
Шығыс  Қазақстан,270968.0,96.0,123.4,91.8,105.4,276207.0,123.9,108.9
Астана қаласы,389526.0,99.0,115.1,94.6,98.0,387744.0,118.0,103.6
Алматы қаласы,338636.0,96.1,119.4,92.4,102.9,339484.0,120.4,106.4
Шымкент қаласы,227986.0,91.7,120.2,88.2,104.1,229889.0,121.9,108.0
quarter 4,,,,,,,,
regions,quoter_by_T,past_quoter%,past_year_this_quoter%,real_past_quoter%,real_past_year_this_quoter%,jan-mar_by_T,period_past year,real_period_past_year
33332.0,338715.0,113.0,122.9,107.9,102.8,308033.0,123.8,107.7
Абай,280574.0,112.7,124.6,108.1,104.1,260102.0,124.2,107.6
Ақмола,274603.0,110.7,125.8,105.7,104.3,250061.0,124.5,107.5
Ақтөбе,302824.0,112.0,123.8,107.2,103.9,272768.0,127.1,110.5
Алматы,271503.0,108.1,106.5,103.7,90.6,259970.0,116.7,102.5
Атырау,556015.0,105.5,132.3,101.9,111.4,517454.0,125.7,109.8
Батыс Қазақстан,300819.0,109.0,125.0,104.2,104.9,274549.0,121.3,105.8
Жамбыл,243477.0,112.5,113.1,107.7,95.7,234155.0,121.4,106.5
Жетісу,250593.0,116.9,120.3,112.2,100.9,227906.0,121.1,105.6
Қарағанды,317758.0,115.5,122.9,110.3,102.2,283308.0,124.0,107.4
Қостанай,281827.0,113.2,125.2,108.6,105.0,249547.0,124.0,108.1
Қызылорда,269987.0,107.3,120.4,102.2,101.1,262122.0,124.5,108.8
Маңғыстау,509032.0,113.1,133.1,107.8,107.8,455846.0,130.6,111.4
Павлодар,308459.0,115.9,125.2,110.7,105.1,273061.0,124.2,108.5
Солтүстік Қазақстан,241151.0,104.0,118.8,99.2,99.3,226799.0,121.3,105.7
Түркістан ,240720.0,111.1,115.8,106.6,97.2,236876.0,121.5,105.3
Ұлытау,448946.0,113.7,135.2,109.4,112.4,404279.0,137.5,118.7
Шығыс  Қазақстан,323726.0,119.5,120.5,114.7,100.8,286157.0,123.5,107.1
Астана қаласы,469300.0,120.5,119.9,113.5,98.0,406751.0,119.4,102.8
Алматы қаласы,394213.0,116.4,119.8,111.0,100.3,350266.0,119.6,104.2
Шымкент қаласы,250340.0,109.8,119.6,104.6,100.3,234965.0,121.8,106.4
